city,zone,vehicle_type,platform,season,month,avg_daily_orders,avg_daily_hours,effective_heat_days,effective_rain_days,effective_aqi_days,zone_flood_risk,zone_risk_score
Chennai,Pallikaranai,Two-Wheeler EV,Zomato,Post-monsoon,11,25,10,0.2,1.0,3.6,1.45,1.16
Chennai,Velachery,Two-Wheeler ICE,Zomato,Monsoon,9,37,7,0.2,2.4,0.8,1.4,1.3
Bengaluru,Bellandur,Two-Wheeler ICE,Swiggy,Pre-monsoon,3,38,13,0.0,0.03,1.2,1.45,1.18
Chennai,Adyar,Two-Wheeler EV,Both,Monsoon,9,32,9,0.2,2.4,0.8,1.4,1.27
Chennai,Velachery,Two-Wheeler ICE,Zomato,Pre-monsoon,5,16,11,1.8,0.8,0.8,1.4,1.18
Bengaluru,Bellandur,Two-Wheeler ICE,Swiggy,Monsoon,6,43,12,0.0,0.36,0.3,1.45,1.24
Delhi,Lajpat Nagar,Two-Wheeler ICE,Zomato,Post-monsoon,11,26,7,1.4,0.375,45.0,1.1,1.34
Bengaluru,Koramangala,Two-Wheeler EV,Zomato,Winter,12,20,13,0.0,0.03,2.7,1.2,1.02
Bengaluru,Whitefield,Two-Wheeler ICE,Swiggy,Pre-monsoon,4,14,12,0.0,0.06,0.6,1.4,1.05
Bengaluru,Sarjapur Road,Two-Wheeler ICE,Zomato,Post-monsoon,10,37,7,0.0,0.24,2.1,1.45,1.19
Bengaluru,Whitefield,Two-Wheeler ICE,Swiggy,Post-monsoon,11,26,10,0.0,0.15,2.7,1.4,1.12
Bengaluru,Mahadevapura,Two-Wheeler ICE,Zomato,Monsoon,7,20,8,0.0,0.54,0.3,1.5,1.22
Chennai,Anna Nagar,Two-Wheeler ICE,Zomato,Monsoon,8,18,9,0.2,3.6,0.4,1.05,1.11
Bengaluru,Whitefield,Two-Wheeler ICE,Swiggy,Monsoon,6,37,8,0.0,0.36,0.3,1.4,1.22
Delhi,Connaught Place,Two-Wheeler EV,Zomato,Monsoon,8,13,13,1.4,1.35,5.0,1.05,1.04
Delhi,Yamuna Floodplain,Two-Wheeler ICE,Zomato,Monsoon,8,34,11,1.4,1.35,5.0,1.5,1.4
Mumbai,Parel,Two-Wheeler ICE,Both,Winter,2,13,9,0.0,0.6,1.6,1.3,1.06
Delhi,Lajpat Nagar,Two-Wheeler EV,Zomato,Post-monsoon,10,43,11,1.4,0.6,35.0,1.1,1.36
Delhi,Yamuna Floodplain,Two-Wheeler ICE,Zomato,Pre-monsoon,4,41,12,7.0,0.15,10.0,1.5,1.5
Delhi,Yamuna Floodplain,Two-Wheeler EV,Zomato,Post-monsoon,11,39,8,1.4,0.375,45.0,1.5,1.5
Bengaluru,Koramangala,Two-Wheeler ICE,Zomato,Monsoon,7,32,7,0.0,0.54,0.3,1.2,1.12
Mumbai,Bandra,Two-Wheeler ICE,Zomato,Post-monsoon,11,15,8,0.0,3.0,1.8,1.1,1.06
Bengaluru,Bellandur,Two-Wheeler ICE,Both,Pre-monsoon,4,22,9,0.0,0.06,0.6,1.45,1.12
Chennai,Anna Nagar,Two-Wheeler ICE,Both,Monsoon,8,12,7,0.2,3.6,0.4,1.05,1.06
Mumbai,Wadala,Two-Wheeler ICE,Zomato,Monsoon,6,19,8,0.0,7.2,0.2,1.25,1.33
Chennai,Anna Nagar,Two-Wheeler ICE,Zomato,Post-monsoon,11,41,11,0.2,1.0,3.6,1.05,1.04
Delhi,ITO,Two-Wheeler EV,Zomato,Post-monsoon,11,33,10,1.4,0.375,45.0,1.4,1.5
Delhi,ITO,Two-Wheeler ICE,Swiggy,Monsoon,9,11,9,1.4,0.9,10.0,1.4,1.29
Mumbai,Chembur,Two-Wheeler ICE,Zomato,Monsoon,9,43,13,0.0,7.2,0.4,1.45,1.48
Delhi,Azad Market,Two-Wheeler ICE,Swiggy,Winter,2,11,6,1.4,0.075,40.0,1.35,1.44
Chennai,Adyar,Two-Wheeler ICE,Swiggy,Monsoon,8,41,8,0.2,3.6,0.4,1.4,1.34
Mumbai,Parel,Two-Wheeler EV,Both,Monsoon,6,13,13,0.0,7.2,0.2,1.3,1.27
Delhi,Connaught Place,Two-Wheeler ICE,Swiggy,Pre-monsoon,5,39,11,12.6,0.3,10.0,1.05,1.39
Delhi,ITO,Two-Wheeler EV,Swiggy,Winter,12,20,9,1.4,0.075,45.0,1.4,1.48
Delhi,ITO,Two-Wheeler ICE,Zomato,Post-monsoon,11,18,8,1.4,0.375,45.0,1.4,1.49
Bengaluru,Mahadevapura,Two-Wheeler ICE,Swiggy,Winter,2,30,6,0.0,0.03,2.4,1.5,1.2
Delhi,Yamuna Floodplain,Bicycle,Zomato,Monsoon,7,14,7,2.8,1.35,5.0,1.5,1.29
Bengaluru,Sarjapur Road,Two-Wheeler ICE,Zomato,Winter,1,43,10,0.0,0.03,2.7,1.45,1.23
Bengaluru,Indiranagar,Two-Wheeler ICE,Both,Monsoon,8,13,7,0.0,0.54,0.3,1.1,0.97
Hyderabad,Charminar,Two-Wheeler ICE,Zomato,Post-monsoon,10,38,11,0.17,0.4,1.05,1.35,1.14
Chennai,Adyar,Two-Wheeler ICE,Swiggy,Monsoon,9,37,13,0.2,2.4,0.8,1.4,1.3
Bengaluru,Sarjapur Road,Two-Wheeler ICE,Swiggy,Monsoon,9,24,13,0.0,0.36,0.6,1.45,1.19
Mumbai,Kurla,Two-Wheeler ICE,Swiggy,Post-monsoon,10,18,13,0.0,4.8,1.4,1.35,1.24
Delhi,Yamuna Floodplain,Two-Wheeler ICE,Zomato,Winter,12,30,13,1.4,0.075,45.0,1.5,1.5
Hyderabad,Begumpet,Two-Wheeler ICE,Zomato,Pre-monsoon,3,15,10,0.51,0.05,0.6,1.2,1.01
